ScreenName,handle
Eswatini Government,@EswatiniGovern1
Malawi Government,@MalawiGovt
Hage G. Geingob,@hagegeingob
Seychelles Ministry of Finance,@FinanceSC
PresidencyZA,@PresidencyZA
Ministry of Health Zambia,@mohzambia
President of Zimbabwe,@edmnangagwa
MinSantédj,@MinSantedj
Yemane G. Meskel,@hawelti
State House Kenya,@StateHouseKenya
Paul Kagame,@PaulKagame
Mohamed Farmaajo,@M_Farmaajo
South Sudan Government,@SouthSudanGov
Abdalla Hamdok,@SudanPMHamdok
TanzaniaSpokesperson,@TZSpokesperson
Yoweri K Museveni,@KagutaMuseveni
MOFA/MRE -,@angola_Mirex
Amb. Willy Nyamitwe,@willynyamitwe
Chérif Mahamat Zene,@Cherif_MZ
Présidence RDC 🇨🇩,@Presidence_RDC
Ali Bongo Ondimba,@PresidentABO
Présidence du Bénin,@PresidenceBenin
Roch KABORE,@rochkaborepf
Presidente Cabo Verde,@PresidenciaCV
Alassane Ouattara,@AOuattara_PRCI
State House of The Gambia,@Presidency_GMB
Nana Akufo-Addo,@NAkufoAddo
Pr. Alpha CONDÉ,@President_GN
Umaro Sissoco Embalo,@USEmbalo
Presidence Mali,@PresidenceMali
Mohamed Cheikh El Ghazouani محمد الشيخ الغزواني,@CheikhGhazouani
Issoufou Mahamadou,@IssoufouMhm
Muhammadu Buhari,@MBuhari
Macky Sall,@Macky_Sall
President Julius Maada Bio,@PresidentBio
Ministère de la Santé et de l'hygiène Publique,@MSPS_Togo
