id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,possibly_sensitive,hashtags,original_author,user_mentions,followers_count,friends_count,place,place_coord_boundaries
1283799918939975680,Thu Jul 16 16:25:27 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Minister of Health Lizzie Nkosi announces one new #COVID19 death in Eswatini, taking the total number of #COVID19 d… https://t.co/SX7Sfmulop",Minister Health Lizzie Nkosi announces one new death Eswatini taking total number,"Sentiment(polarity=0.06818181818181818, subjectivity=0.6022727272727273)",0.06818181818181818,0.6022727272727273,en,52,22,EswatiniGovern1,False,"COVID19, COVID19",,11279,82,,Eswatini 
1283444273149620224,Wed Jul 15 16:52:14 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ministerial Statement: Minister of Health Lizzie Nkosi's #COVID19 update on 15 July 2020:

New cases: 55
Total case… https://t.co/3Ge4J1KV9C",Ministerial Statement Minister Health Lizzie Nkosi 's update July New cases Total case,"Sentiment(polarity=0.06818181818181818, subjectivity=0.6022727272727273)",0.06818181818181818,0.6022727272727273,en,28,13,EswatiniGovern1,False,COVID19,,11279,82,,Eswatini 
1283332522777157632,Wed Jul 15 09:28:11 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Ambassador Aragones: “When this project is implemented, it will run for the next eight months. It is earmarked to r… https://t.co/TFp9F4PE0d",Ambassador Aragones When project implemented run next eight months It earmarked r,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,9,2,EswatiniGovern1,,,,11279,82,,Eswatini 
1283332518964600839,Wed Jul 15 09:28:10 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Ambassador Aragones: “This assistance is part of the bigger support the EU is providing to the #COVID19 response in… https://t.co/61btdfLM6b,Ambassador Aragones This assistance part bigger support EU providing response,"Sentiment(polarity=0.0, subjectivity=0.5)",0.0,0.5,en,11,2,EswatiniGovern1,False,COVID19,,11279,82,,Eswatini 
1283332516586422273,Wed Jul 15 09:28:09 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",PM: “This support is significant as it adds to the ongoing food assistance programme which has already benefited ov… https://t.co/FZWix2DJQn,PM This support significant adds ongoing food assistance programme already benefited ov,"Sentiment(polarity=0.375, subjectivity=0.875)",0.375,0.875,en,3,0,EswatiniGovern1,,,,11279,82,,Eswatini 
1283332512966680578,Wed Jul 15 09:28:08 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Prime Minister: “The EU is showing, yet again, the kind of friend &amp; collaborator it is to this Kingdom. It is impor… https://t.co/71rxEQx06H",Prime Minister The EU showing yet kind friend amp collaborator Kingdom It impor,"Sentiment(polarity=0.6, subjectivity=0.9)",0.6,0.9,en,4,0,EswatiniGovern1,False,,,11279,82,,Eswatini 
1283332508998934529,Wed Jul 15 09:28:07 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Prime Minister Ambrose Dlamini has this morning received E46.6 million from @EUinEswatini Ambassador Esmeralda Hern… https://t.co/W1T84rA1Yy,Prime Minister Ambrose Dlamini morning received E46.6 million Ambassador Esmeralda Hern,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,32,8,EswatiniGovern1,False,,EUinEswatini,11279,82,,Eswatini 
1283317063767990272,Wed Jul 15 08:26:45 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",[WATCH LIVE]: Prime Minister Ambrose Mandvulo Dlamini receives #COVID19 aid from the European Union.  https://t.co/ybzWcP9yUn,WATCH LIVE Prime Minister Ambrose Mandvulo Dlamini receives aid European Union,"Sentiment(polarity=0.06818181818181818, subjectivity=0.25)",0.06818181818181818,0.25,en,26,10,EswatiniGovern1,False,COVID19,,11279,82,,Eswatini 
1283074517108174848,Tue Jul 14 16:22:57 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ministerial Statement: Minister of Health Lizzie Nkosi's #COVID19 update on 14 July 2020:

New cases: 45
Total case… https://t.co/8nLU6Mm54v",Ministerial Statement Minister Health Lizzie Nkosi 's update July New cases Total case,"Sentiment(polarity=0.06818181818181818, subjectivity=0.6022727272727273)",0.06818181818181818,0.6022727272727273,en,49,15,EswatiniGovern1,False,COVID19,,11279,82,,Eswatini 
1282751407796428802,Mon Jul 13 18:59:02 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Premier Eswatini Reps.: ""We have identified the source of the problem &amp; rectified it. We traced it to the wheat we… https://t.co/S74DJuJgNt",Premier Eswatini Reps. `` We identified source problem amp rectified We traced wheat,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,9,1,EswatiniGovern1,False,,,11279,82,,Eswatini 
